20	2049	4.81	[19, 18, 10, 17, 3, 6, 13, 2, 14, 15, 8, 11, 5, 0, 12, 1, 16, 4, 9, 7]
21	2075	4.70	[3, 19, 13, 6, 4, 18, 10, 2, 11, 15, 9, 8, 14, 1, 5, 12, 17, 0, 16, 7]
22	2108	4.74	[10, 19, 15, 4, 13, 18, 12, 17, 6, 14, 8, 5, 2, 3, 11, 7, 0, 1, 9, 16]
23	2067	4.78	[3, 6, 14, 10, 12, 2, 4, 1, 17, 5, 13, 16, 11, 18, 19, 8, 15, 0, 9, 7]
24	2088	4.69	[6, 13, 10, 5, 18, 2, 3, 14, 12, 15, 4, 8, 19, 17, 0, 1, 16, 11, 7, 9]
25	2068	4.80	[14, 5, 2, 3, 10, 17, 19, 13, 12, 18, 4, 6, 11, 0, 1, 15, 8, 9, 7, 16]
26	2115	4.74	[18, 5, 2, 10, 3, 6, 15, 4, 14, 11, 12, 16, 0, 13, 19, 8, 17, 7, 1, 9]
27	2106	4.75	[14, 1, 6, 5, 12, 2, 17, 15, 13, 10, 16, 19, 18, 11, 0, 3, 7, 4, 8, 9]
28	2089	4.78	[18, 19, 15, 14, 6, 4, 12, 11, 17, 8, 0, 5, 13, 10, 2, 9, 1, 16, 7, 3]
29	2059	4.82	[3, 6, 18, 14, 5, 19, 8, 1, 13, 10, 12, 15, 17, 11, 2, 9, 4, 0, 16, 7]
30	2050	4.78	[14, 6, 18, 19, 13, 2, 1, 15, 4, 8, 12, 3, 17, 11, 0, 10, 5, 16, 9, 7]
31	2083	4.70	[14, 18, 2, 15, 13, 5, 12, 19, 17, 10, 3, 11, 8, 0, 1, 4, 6, 16, 9, 7]
32	2068	4.72	[18, 5, 13, 19, 17, 2, 8, 14, 10, 15, 4, 0, 6, 3, 12, 16, 11, 1, 9, 7]
33	2063	4.79	[14, 10, 6, 13, 18, 4, 2, 1, 19, 17, 5, 16, 12, 11, 8, 0, 3, 9, 15, 7]
34	2054	4.83	[14, 19, 2, 13, 18, 6, 17, 1, 10, 16, 11, 8, 4, 5, 0, 15, 12, 9, 3, 7]
35	2069	4.75	[18, 6, 14, 4, 19, 13, 2, 3, 12, 8, 5, 10, 0, 11, 1, 15, 16, 17, 7, 9]
36	2048	4.82	[19, 14, 15, 18, 6, 13, 12, 17, 5, 1, 4, 10, 2, 16, 11, 8, 0, 9, 7, 3]
37	2091	4.79	[15, 13, 5, 19, 17, 14, 11, 0, 10, 12, 18, 8, 2, 3, 6, 4, 9, 1, 16, 7]
38	2072	4.72	[14, 18, 15, 10, 4, 19, 5, 2, 17, 1, 13, 16, 11, 8, 6, 12, 0, 3, 9, 7]
39	2039	4.70	[19, 13, 14, 1, 18, 12, 5, 11, 6, 2, 4, 15, 8, 0, 10, 16, 17, 3, 9, 7]
40	2097	4.80	[5, 10, 2, 17, 3, 14, 4, 13, 19, 0, 12, 1, 6, 18, 8, 15, 16, 11, 9, 7]
41	2059	4.86	[3, 14, 15, 19, 2, 8, 5, 13, 18, 10, 12, 17, 11, 6, 0, 9, 4, 1, 16, 7]
42	2094	4.85	[14, 4, 19, 1, 17, 12, 5, 2, 3, 0, 15, 8, 10, 13, 16, 7, 18, 6, 11, 9]
43	2051	4.80	[2, 14, 10, 19, 4, 1, 18, 13, 8, 5, 15, 16, 17, 6, 12, 11, 3, 9, 7, 0]
44	2011	4.73	[14, 3, 2, 5, 6, 19, 13, 10, 18, 12, 16, 0, 4, 17, 15, 11, 8, 1, 9, 7]
45	2087	4.77	[2, 14, 15, 19, 13, 18, 12, 5, 4, 17, 6, 11, 0, 10, 3, 16, 8, 7, 1, 9]
46	2055	4.76	[14, 10, 19, 13, 18, 17, 2, 1, 3, 12, 0, 4, 5, 15, 8, 6, 11, 9, 16, 7]
47	2085	4.71	[14, 2, 5, 3, 6, 13, 12, 18, 8, 11, 1, 10, 19, 9, 15, 17, 4, 0, 16, 7]
48	2039	4.80	[19, 18, 13, 2, 5, 3, 1, 6, 12, 17, 14, 4, 8, 15, 0, 10, 16, 11, 9, 7]
49	2062	4.78	[3, 19, 14, 18, 17, 12, 5, 8, 2, 13, 15, 0, 1, 6, 10, 11, 9, 4, 16, 7]
50	2068	4.69	[6, 19, 15, 2, 18, 3, 14, 4, 5, 8, 1, 16, 13, 12, 17, 11, 0, 10, 7, 9]
51	2072	4.74	[2, 14, 4, 10, 18, 6, 15, 17, 19, 11, 5, 8, 1, 16, 13, 12, 0, 3, 9, 7]
52	2054	4.86	[19, 14, 2, 4, 13, 12, 5, 6, 8, 1, 10, 16, 15, 11, 18, 0, 3, 17, 7, 9]
53	2068	4.68	[19, 14, 18, 10, 6, 12, 8, 1, 17, 5, 3, 13, 2, 11, 9, 4, 15, 0, 7, 16]
54	2055	4.75	[19, 18, 2, 14, 4, 1, 8, 5, 12, 17, 13, 3, 9, 6, 15, 11, 0, 10, 7, 16]
55	2075	4.72	[18, 19, 14, 6, 12, 2, 4, 1, 5, 8, 10, 15, 11, 17, 13, 16, 3, 7, 0, 9]
